customer_id,churn_probability,risk_level
31731,0.9605,High
28274,0.9605,High
49497,0.9605,High
46044,0.9605,High
45141,0.9604,High
20428,0.9604,High
15336,0.9604,High
17491,0.9604,High
1421,0.9604,High
22945,0.9604,High
5051,0.9604,High
11857,0.9603,High
42808,0.9603,High
29001,0.9602,High
28447,0.9602,High
2707,0.9602,High
37589,0.9601,High
1947,0.9601,High
6150,0.9601,High
51662,0.9601,High
1618,0.96,High
42936,0.96,High
49812,0.96,High
30034,0.9599,High
32836,0.9599,High
21605,0.9599,High
40190,0.9599,High
43442,0.9599,High
35427,0.9598,High
622,0.9598,High
39790,0.9598,High
22039,0.9597,High
28529,0.9597,High
14616,0.9597,High
7413,0.9597,High
41644,0.9597,High
30368,0.9597,High
29134,0.9597,High
1687,0.9597,High
51689,0.9596,High
22698,0.9596,High
2346,0.9596,High
8959,0.9596,High
49005,0.9596,High
28457,0.9596,High
19697,0.9595,High
29627,0.9595,High
31137,0.9595,High
14544,0.9594,High
16802,0.9594,High
50168,0.9594,High
29983,0.9594,High
23561,0.9594,High
18837,0.9594,High
18790,0.9594,High
38190,0.9593,High
16138,0.9593,High
16238,0.9593,High
32721,0.9593,High
21608,0.9592,High
3095,0.9592,High
19816,0.9592,High
1742,0.9592,High
33500,0.9592,High
27198,0.9591,High
5985,0.9591,High
47015,0.9591,High
1027,0.959,High
18756,0.959,High
1811,0.959,High
26621,0.959,High
21198,0.9589,High
25934,0.9589,High
41032,0.9589,High
45365,0.9589,High
4399,0.9589,High
18252,0.9589,High
13800,0.9588,High
25012,0.9587,High
6337,0.9587,High
20163,0.9587,High
17929,0.9587,High
29622,0.9587,High
16505,0.9586,High
9034,0.9586,High
26392,0.9585,High
5160,0.9585,High
17367,0.9584,High
17909,0.9584,High
31200,0.9584,High
10320,0.9584,High
583,0.9584,High
20703,0.9584,High
21451,0.9582,High
43609,0.9581,High
30543,0.9581,High
50350,0.9581,High
41334,0.9581,High
33094,0.958,High
9687,0.9579,High
25975,0.9579,High
44866,0.9579,High
35068,0.9578,High
42900,0.9577,High
30757,0.9577,High
15255,0.9577,High
4280,0.9577,High
17630,0.9577,High
14640,0.9576,High
22831,0.9576,High
38686,0.9576,High
17960,0.9575,High
26670,0.9575,High
34068,0.9575,High
42806,0.9575,High
35677,0.9574,High
29266,0.9574,High
520,0.9574,High
13018,0.9574,High
22373,0.9573,High
8353,0.9573,High
25719,0.9573,High
13458,0.9573,High
50289,0.9573,High
38667,0.9573,High
30989,0.9571,High
42940,0.9571,High
13400,0.9571,High
41630,0.9571,High
29175,0.9571,High
38323,0.9571,High
34741,0.9571,High
30023,0.9571,High
3533,0.9571,High
48338,0.9571,High
5455,0.957,High
33900,0.957,High
45239,0.9569,High
24372,0.9569,High
18248,0.9569,High
26462,0.9569,High
37009,0.9569,High
33611,0.9569,High
45250,0.9568,High
48018,0.9568,High
23180,0.9567,High
1426,0.9567,High
36579,0.9567,High
20861,0.9567,High
25371,0.9566,High
26943,0.9566,High
39057,0.9565,High
34184,0.9565,High
22637,0.9565,High
12816,0.9565,High
9807,0.9564,High
8573,0.9564,High
9035,0.9564,High
19314,0.9564,High
10631,0.9564,High
43706,0.9563,High
19449,0.9563,High
38214,0.9563,High
21170,0.9562,High
27106,0.9562,High
6929,0.9562,High
35257,0.9562,High
407,0.9561,High
33825,0.9561,High
42442,0.9561,High
43145,0.9561,High
34466,0.9561,High
50638,0.9561,High
46459,0.9561,High
10813,0.956,High
16715,0.9559,High
16921,0.9559,High
44864,0.9558,High
27592,0.9558,High
6629,0.9558,High
50005,0.9558,High
41906,0.9558,High
46596,0.9557,High
38389,0.9557,High
19291,0.9557,High
5332,0.9556,High
3080,0.9556,High
10235,0.9556,High
40714,0.9556,High
49932,0.9556,High
25985,0.9555,High
10737,0.9554,High
5622,0.9554,High
32202,0.9553,High
6499,0.9553,High
29880,0.9553,High
10678,0.9553,High
8686,0.9553,High
4949,0.9552,High
1140,0.9552,High
29425,0.9552,High
24221,0.9551,High
50343,0.9551,High
39857,0.955,High
2811,0.955,High
25867,0.955,High
28335,0.9549,High
38408,0.9549,High
50866,0.9549,High
10462,0.9549,High
35652,0.9548,High
49276,0.9547,High
23000,0.9547,High
7473,0.9546,High
51223,0.9545,High
29441,0.9545,High
1844,0.9545,High
25774,0.9545,High
26824,0.9544,High
13042,0.9544,High
51494,0.9544,High
27757,0.9544,High
44976,0.9544,High
16634,0.9543,High
51045,0.9543,High
44364,0.9543,High
43389,0.9542,High
2073,0.9542,High
49556,0.9542,High
30537,0.9541,High
34402,0.9541,High
48027,0.9541,High
19645,0.9541,High
21900,0.954,High
2452,0.954,High
28371,0.9539,High
7827,0.9539,High
43255,0.9539,High
20507,0.9538,High
12956,0.9538,High
5615,0.9538,High
29860,0.9538,High
28030,0.9538,High
5057,0.9538,High
26000,0.9537,High
14494,0.9537,High
47801,0.9537,High
16112,0.9537,High
18433,0.9537,High
5810,0.9537,High
27932,0.9537,High
50612,0.9536,High
49030,0.9536,High
6067,0.9536,High
7278,0.9536,High
19604,0.9536,High
35650,0.9536,High
44980,0.9536,High
1193,0.9535,High
46987,0.9535,High
51449,0.9535,High
43062,0.9534,High
26484,0.9534,High
37405,0.9534,High
10524,0.9533,High
36167,0.9533,High
44972,0.9533,High
28094,0.9532,High
6593,0.9532,High
6125,0.9532,High
3330,0.9532,High
8023,0.9532,High
51601,0.9531,High
39504,0.9531,High
3073,0.9531,High
27305,0.953,High
28967,0.953,High
35933,0.953,High
51057,0.953,High
32657,0.9528,High
29868,0.9528,High
2860,0.9528,High
9450,0.9528,High
23206,0.9528,High
9862,0.9528,High
18319,0.9528,High
25997,0.9528,High
10001,0.9528,High
15555,0.9527,High
11209,0.9527,High
45874,0.9527,High
35012,0.9527,High
11503,0.9527,High
23137,0.9527,High
2929,0.9527,High
35212,0.9527,High
10579,0.9526,High
8551,0.9526,High
40272,0.9525,High
4318,0.9525,High
33129,0.9525,High
1149,0.9524,High
49904,0.9524,High
14573,0.9523,High
16259,0.9523,High
30177,0.9523,High
41031,0.9523,High
36822,0.9522,High
49735,0.9522,High
14162,0.9522,High
918,0.9522,High
26718,0.9522,High
8996,0.9522,High
27125,0.9522,High
37466,0.9521,High
7167,0.9521,High
19189,0.9521,High
51720,0.952,High
28932,0.952,High
39432,0.952,High
13727,0.9519,High
41585,0.9518,High
36342,0.9518,High
33193,0.9517,High
39262,0.9517,High
17423,0.9516,High
12853,0.9516,High
41096,0.9516,High
8178,0.9515,High
45329,0.9513,High
24480,0.9513,High
26894,0.9512,High
32589,0.9512,High
19393,0.9512,High
1372,0.9512,High
50576,0.9511,High
13433,0.9511,High
41130,0.9511,High
30240,0.9511,High
3009,0.951,High
29479,0.951,High
43108,0.951,High
1321,0.951,High
2983,0.9509,High
49190,0.9509,High
51039,0.9509,High
18456,0.9509,High
26968,0.9508,High
36699,0.9508,High
33524,0.9508,High
9529,0.9508,High
20540,0.9508,High
3203,0.9508,High
24398,0.9508,High
37564,0.9507,High
4749,0.9507,High
13788,0.9507,High
36280,0.9506,High
28261,0.9506,High
898,0.9506,High
11710,0.9506,High
20100,0.9506,High
28103,0.9506,High
8031,0.9505,High
44649,0.9505,High
35440,0.9505,High
37792,0.9505,High
45076,0.9505,High
14612,0.9504,High
38906,0.9504,High
40681,0.9504,High
26763,0.9504,High
50431,0.9504,High
19243,0.9504,High
47066,0.9503,High
48213,0.9503,High
37914,0.9503,High
14192,0.9503,High
30998,0.9503,High
49033,0.9502,High
19764,0.9502,High
23955,0.9502,High
33122,0.9501,High
9527,0.9501,High
862,0.9501,High
37271,0.95,High
45090,0.95,High
39939,0.95,High
47415,0.95,High
10414,0.95,High
51853,0.9499,High
40095,0.9499,High
27633,0.9499,High
41401,0.9499,High
44178,0.9499,High
28878,0.9499,High
2344,0.9499,High
18739,0.9498,High
28368,0.9498,High
38848,0.9498,High
17939,0.9497,High
20483,0.9497,High
50058,0.9497,High
33501,0.9497,High
49564,0.9497,High
46025,0.9496,High
12124,0.9496,High
4858,0.9496,High
3451,0.9495,High
44064,0.9495,High
10748,0.9495,High
12259,0.9495,High
37391,0.9495,High
22439,0.9495,High
19445,0.9494,High
24240,0.9493,High
24244,0.9493,High
7159,0.9493,High
34509,0.9492,High
37102,0.9492,High
37223,0.9491,High
20016,0.9491,High
27719,0.9491,High
34457,0.9491,High
43306,0.949,High
40185,0.949,High
14617,0.9489,High
37623,0.9489,High
18417,0.9489,High
33700,0.9489,High
47505,0.9488,High
6398,0.9488,High
9901,0.9487,High
2289,0.9487,High
29055,0.9486,High
49534,0.9486,High
19925,0.9486,High
32939,0.9485,High
36341,0.9485,High
47948,0.9485,High
29194,0.9484,High
31195,0.9484,High
6601,0.9484,High
33910,0.9484,High
36518,0.9484,High
29667,0.9483,High
28643,0.9483,High
6619,0.9482,High
37219,0.9481,High
50766,0.9481,High
1357,0.9481,High
7951,0.9481,High
39486,0.948,High
50829,0.948,High
1481,0.9479,High
43107,0.9479,High
44009,0.9479,High
39913,0.9479,High
22610,0.9478,High
20829,0.9478,High
32694,0.9478,High
11673,0.9478,High
9362,0.9478,High
35271,0.9478,High
38143,0.9478,High
858,0.9477,High
44547,0.9477,High
22382,0.9477,High
36368,0.9476,High
42254,0.9476,High
39509,0.9476,High
25569,0.9476,High
7807,0.9476,High
7049,0.9476,High
8869,0.9475,High
1215,0.9473,High
50515,0.9473,High
41693,0.9473,High
20488,0.9472,High
39876,0.9472,High
11796,0.9472,High
41508,0.9471,High
40106,0.947,High
31580,0.947,High
14446,0.9469,High
8131,0.9469,High
44,0.9469,High
46980,0.9469,High
29275,0.9469,High
25284,0.9469,High
14283,0.9469,High
24948,0.9468,High
11458,0.9468,High
46321,0.9468,High
2643,0.9468,High
32079,0.9468,High
18551,0.9467,High
36039,0.9467,High
28091,0.9467,High
51371,0.9467,High
21208,0.9466,High
34207,0.9466,High
15187,0.9465,High
49810,0.9465,High
39931,0.9465,High
34976,0.9465,High
28839,0.9464,High
11688,0.9464,High
24097,0.9464,High
15607,0.9464,High
1557,0.9464,High
6693,0.9464,High
12172,0.9464,High
18601,0.9463,High
26971,0.9463,High
5276,0.9463,High
43432,0.9462,High
46732,0.9462,High
8973,0.9462,High
33130,0.9461,High
45006,0.9461,High
41717,0.946,High
46538,0.946,High
41680,0.946,High
48605,0.946,High
3199,0.946,High
42058,0.9459,High
14708,0.9459,High
12275,0.9458,High
45745,0.9458,High
13402,0.9458,High
13521,0.9458,High
51842,0.9458,High
47989,0.9458,High
4256,0.9458,High
2153,0.9457,High
46197,0.9457,High
1519,0.9457,High
1126,0.9457,High
14945,0.9456,High
24669,0.9456,High
32993,0.9456,High
14241,0.9455,High
37878,0.9455,High
12252,0.9455,High
966,0.9454,High
31206,0.9454,High
37233,0.9454,High
11193,0.9453,High
17800,0.9453,High
7530,0.9453,High
36417,0.9453,High
13813,0.9453,High
33307,0.9453,High
20120,0.9453,High
27083,0.9452,High
31767,0.9452,High
18520,0.9452,High
45121,0.9452,High
26787,0.9451,High
15631,0.9451,High
37805,0.9451,High
8307,0.945,High
29726,0.945,High
44936,0.9449,High
14924,0.9449,High
1807,0.9449,High
35591,0.9449,High
12651,0.9448,High
37496,0.9448,High
37544,0.9448,High
11538,0.9448,High
34459,0.9447,High
7189,0.9446,High
27133,0.9446,High
48915,0.9446,High
367,0.9446,High
1509,0.9446,High
42579,0.9445,High
2120,0.9445,High
42913,0.9445,High
32719,0.9444,High
29212,0.9444,High
27763,0.9444,High
50802,0.9443,High
10238,0.9443,High
6353,0.9442,High
13667,0.9442,High
41185,0.9442,High
6435,0.9442,High
44947,0.9441,High
27690,0.9441,High
38192,0.9441,High
47804,0.9441,High
8107,0.9441,High
12668,0.9441,High
10093,0.944,High
2014,0.944,High
45135,0.9439,High
20721,0.9439,High
11559,0.9439,High
45935,0.9438,High
43747,0.9438,High
24831,0.9437,High
46627,0.9437,High
4763,0.9437,High
2837,0.9436,High
32204,0.9436,High
26400,0.9435,High
3684,0.9435,High
46261,0.9434,High
2393,0.9434,High
31510,0.9434,High
35266,0.9433,High
7841,0.9433,High
40925,0.9432,High
13368,0.9431,High
12129,0.9431,High
41806,0.9431,High
25320,0.9431,High
8426,0.9431,High
27302,0.9431,High
19282,0.943,High
31593,0.943,High
39800,0.943,High
39781,0.9429,High
9168,0.9429,High
15070,0.9429,High
12013,0.9429,High
841,0.9428,High
16399,0.9428,High
38804,0.9428,High
18184,0.9427,High
37787,0.9426,High
13549,0.9426,High
43312,0.9425,High
32862,0.9425,High
46982,0.9425,High
41776,0.9425,High
17452,0.9425,High
48362,0.9424,High
22198,0.9424,High
19998,0.9424,High
22996,0.9424,High
15816,0.9424,High
34134,0.9424,High
48060,0.9424,High
31932,0.9422,High
18847,0.9422,High
33073,0.9422,High
27674,0.9422,High
26980,0.9421,High
25037,0.9421,High
32603,0.9421,High
48068,0.9421,High
41781,0.942,High
27712,0.9419,High
43041,0.9418,High
20302,0.9417,High
51114,0.9417,High
30383,0.9416,High
21533,0.9416,High
48371,0.9415,High
41223,0.9415,High
18875,0.9415,High
36930,0.9415,High
36867,0.9415,High
47405,0.9414,High
39135,0.9414,High
8422,0.9414,High
1124,0.9414,High
10393,0.9413,High
9407,0.9413,High
49078,0.9413,High
41673,0.9413,High
39173,0.9412,High
15907,0.9412,High
6534,0.9412,High
24363,0.9412,High
18621,0.9412,High
15499,0.9412,High
4221,0.9412,High
21115,0.9412,High
34434,0.9411,High
43826,0.9411,High
8566,0.9411,High
45388,0.9411,High
43789,0.9411,High
16524,0.9411,High
657,0.9411,High
28359,0.9411,High
44941,0.941,High
34917,0.941,High
12099,0.941,High
31585,0.941,High
27589,0.941,High
27183,0.9409,High
3517,0.9409,High
5288,0.9409,High
8795,0.9409,High
49178,0.9409,High
50135,0.9408,High
12719,0.9408,High
27156,0.9407,High
50862,0.9407,High
214,0.9407,High
33279,0.9406,High
21887,0.9406,High
38379,0.9406,High
8762,0.9406,High
39763,0.9404,High
37249,0.9404,High
43275,0.9402,High
31020,0.9402,High
14348,0.9402,High
41385,0.9402,High
8504,0.9402,High
33174,0.9402,High
7699,0.9401,High
6738,0.9401,High
35277,0.9401,High
5786,0.9401,High
11054,0.9401,High
30742,0.94,High
7875,0.94,High
28737,0.94,High
49384,0.94,High
13298,0.94,High
12038,0.94,High
47153,0.94,High
13369,0.9399,High
36894,0.9399,High
31986,0.9398,High
1308,0.9398,High
18822,0.9397,High
42343,0.9397,High
8624,0.9397,High
48892,0.9396,High
10460,0.9396,High
7433,0.9395,High
33791,0.9395,High
47976,0.9395,High
12513,0.9394,High
10062,0.9394,High
12753,0.9394,High
30939,0.9394,High
26008,0.9393,High
16076,0.9393,High
33181,0.9393,High
42223,0.9393,High
15740,0.9393,High
12657,0.9393,High
35703,0.9393,High
45996,0.9391,High
18278,0.9391,High
35674,0.9391,High
26760,0.939,High
16279,0.939,High
22505,0.939,High
32996,0.939,High
35848,0.939,High
23092,0.9389,High
14210,0.9389,High
6315,0.9389,High
43848,0.9388,High
3642,0.9388,High
27835,0.9387,High
33374,0.9387,High
9473,0.9387,High
51578,0.9387,High
40700,0.9387,High
20874,0.9387,High
48565,0.9386,High
45505,0.9385,High
46265,0.9385,High
17318,0.9385,High
16295,0.9385,High
40981,0.9385,High
48100,0.9384,High
12022,0.9384,High
49560,0.9384,High
34360,0.9384,High
48646,0.9384,High
8123,0.9383,High
51163,0.9383,High
29934,0.9383,High
47923,0.9383,High
29193,0.9383,High
21282,0.9382,High
922,0.9382,High
23332,0.9382,High
42724,0.9382,High
36861,0.9382,High
12002,0.9382,High
47462,0.9382,High
42643,0.9381,High
14602,0.9381,High
39557,0.9381,High
31843,0.9381,High
28849,0.9381,High
21400,0.9381,High
10957,0.9381,High
7432,0.938,High
37879,0.938,High
47854,0.938,High
50559,0.938,High
11306,0.9379,High
45096,0.9379,High
28222,0.9378,High
8501,0.9378,High
22798,0.9378,High
40490,0.9378,High
5119,0.9377,High
45837,0.9377,High
5585,0.9376,High
16066,0.9376,High
23698,0.9375,High
20492,0.9375,High
38746,0.9374,High
44895,0.9374,High
38692,0.9374,High
28443,0.9373,High
10534,0.9372,High
33394,0.9372,High
40397,0.9371,High
39502,0.9371,High
1032,0.937,High
16560,0.937,High
38477,0.937,High
35397,0.937,High
36652,0.9369,High
40413,0.9369,High
36076,0.9369,High
28933,0.9369,High
28401,0.9369,High
16990,0.9368,High
51466,0.9368,High
21375,0.9368,High
49905,0.9368,High
3011,0.9368,High
47996,0.9368,High
30350,0.9368,High
29916,0.9367,High
26326,0.9367,High
11789,0.9367,High
28718,0.9367,High
36631,0.9367,High
27865,0.9367,High
41543,0.9366,High
7403,0.9366,High
24777,0.9366,High
35693,0.9366,High
35411,0.9366,High
31313,0.9366,High
21582,0.9365,High
24874,0.9365,High
950,0.9365,High
45619,0.9365,High
46465,0.9365,High
21561,0.9365,High
28555,0.9364,High
26437,0.9364,High
10987,0.9364,High
7468,0.9364,High
26565,0.9363,High
41635,0.9363,High
44974,0.9363,High
29097,0.9362,High
29270,0.9362,High
7731,0.9362,High
45174,0.9362,High
2288,0.9361,High
19457,0.9361,High
42393,0.9361,High
30004,0.9361,High
33189,0.9361,High
45368,0.936,High
39449,0.936,High
48057,0.936,High
45129,0.936,High
6174,0.936,High
50439,0.936,High
7764,0.936,High
34150,0.9359,High
32443,0.9359,High
4210,0.9359,High
21073,0.9359,High
42950,0.9358,High
32743,0.9358,High
32201,0.9358,High
23275,0.9358,High
18065,0.9358,High
38240,0.9358,High
34065,0.9358,High
26799,0.9357,High
15019,0.9357,High
16047,0.9357,High
17735,0.9357,High
38837,0.9356,High
41302,0.9356,High
43216,0.9356,High
51652,0.9356,High
20429,0.9355,High
3951,0.9355,High
8372,0.9355,High
265,0.9354,High
49107,0.9354,High
46960,0.9354,High
25666,0.9354,High
8461,0.9353,High
40517,0.9353,High
9643,0.9352,High
27054,0.9352,High
20950,0.9351,High
44812,0.9351,High
17180,0.9351,High
51249,0.9351,High
7331,0.935,High
26024,0.935,High
22477,0.9349,High
8092,0.9349,High
33847,0.9348,High
51151,0.9348,High
9188,0.9348,High
8089,0.9348,High
5097,0.9348,High
30825,0.9348,High
5488,0.9348,High
29555,0.9347,High
23263,0.9347,High
23169,0.9347,High
25080,0.9347,High
9342,0.9347,High
45955,0.9347,High
42190,0.9347,High
19578,0.9346,High
48162,0.9346,High
48899,0.9345,High
31543,0.9345,High
21374,0.9345,High
42237,0.9345,High
22124,0.9345,High
48922,0.9344,High
35715,0.9344,High
25418,0.9344,High
35442,0.9344,High
38210,0.9343,High
20097,0.9343,High
32509,0.9343,High
17797,0.9341,High
38919,0.9341,High
13933,0.9341,High
5424,0.9341,High
14913,0.934,High
39566,0.934,High
7030,0.9339,High
47300,0.9338,High
32437,0.9338,High
15689,0.9337,High
15406,0.9337,High
5382,0.9336,High
24187,0.9336,High
16183,0.9335,High
3017,0.9335,High
26886,0.9335,High
15600,0.9335,High
27280,0.9335,High
22489,0.9334,High
20856,0.9334,High
20769,0.9334,High
44744,0.9334,High
15798,0.9334,High
10042,0.9334,High
16859,0.9334,High
2178,0.9333,High
20916,0.9333,High
16896,0.9332,High
30722,0.9332,High
45023,0.9332,High
33933,0.9331,High
8865,0.9331,High
16260,0.9331,High
38555,0.9331,High
5865,0.9331,High
43990,0.9331,High
36334,0.933,High
45584,0.933,High
40856,0.933,High
34713,0.933,High
6699,0.933,High
51042,0.933,High
27595,0.933,High
2423,0.9329,High
41190,0.9329,High
50666,0.9329,High
15505,0.9328,High
4438,0.9328,High
21740,0.9328,High
49223,0.9327,High
51318,0.9327,High
48964,0.9327,High
37639,0.9327,High
29215,0.9327,High
26544,0.9326,High
2597,0.9326,High
4465,0.9325,High
28560,0.9325,High
37963,0.9325,High
32335,0.9324,High
39350,0.9324,High
26340,0.9324,High
32985,0.9324,High
13706,0.9324,High
21105,0.9324,High
44098,0.9324,High
38966,0.9324,High
6843,0.9324,High
6684,0.9323,High
46377,0.9323,High
17241,0.9323,High
47455,0.9323,High
6816,0.9323,High
37944,0.9323,High
43972,0.9322,High
42406,0.9322,High
35237,0.9322,High
4518,0.932,High
46154,0.932,High
41236,0.932,High
27710,0.932,High
8017,0.932,High
27186,0.932,High
20620,0.932,High
48501,0.932,High
24269,0.9319,High
25870,0.9319,High
22397,0.9319,High
28383,0.9319,High
18890,0.9319,High
8614,0.9319,High
50562,0.9319,High
15797,0.9318,High
28379,0.9318,High
49113,0.9317,High
44034,0.9317,High
2885,0.9317,High
36734,0.9317,High
44227,0.9317,High
41132,0.9317,High
31761,0.9316,High
27065,0.9316,High
21020,0.9316,High
18383,0.9316,High
12504,0.9315,High
25423,0.9315,High
11832,0.9315,High
46391,0.9314,High
37866,0.9314,High
34845,0.9314,High
46429,0.9313,High
50113,0.9313,High
40223,0.9313,High
37859,0.9313,High
27342,0.9313,High
43807,0.9313,High
13266,0.9313,High
24784,0.9313,High
17182,0.9312,High
16337,0.9312,High
46317,0.9312,High
32383,0.9311,High
9475,0.9311,High
34978,0.9311,High
13070,0.9311,High
521,0.931,High
15523,0.931,High
18758,0.9309,High
5014,0.9309,High
5374,0.9309,High
49832,0.9309,High
16131,0.9309,High
44813,0.9308,High
26277,0.9308,High
51770,0.9308,High
44355,0.9308,High
19643,0.9308,High
41468,0.9307,High
14171,0.9307,High
51640,0.9307,High
17237,0.9307,High
18162,0.9306,High
46902,0.9306,High
3027,0.9306,High
38034,0.9306,High
31472,0.9306,High
4939,0.9306,High
20286,0.9305,High
2306,0.9305,High
40046,0.9305,High
40056,0.9305,High
172,0.9305,High
28937,0.9305,High
28354,0.9303,High
13096,0.9303,High
22599,0.9303,High
11739,0.9303,High
24457,0.9302,High
37874,0.9302,High
50744,0.9302,High
320,0.9301,High
49609,0.9301,High
8256,0.9301,High
45032,0.9301,High
33294,0.9301,High
49732,0.93,High
16786,0.93,High
16482,0.93,High
23337,0.93,High
14002,0.9299,High
43558,0.9299,High
42177,0.9299,High
31442,0.9299,High
40551,0.9299,High
35656,0.9298,High
42581,0.9298,High
3983,0.9298,High
16556,0.9298,High
7700,0.9298,High
23663,0.9298,High
46780,0.9298,High
47121,0.9298,High
33380,0.9297,High
17126,0.9297,High
13690,0.9296,High
26456,0.9296,High
35766,0.9296,High
17285,0.9296,High
26917,0.9295,High
9023,0.9295,High
43806,0.9294,High
44696,0.9294,High
23560,0.9294,High
11745,0.9294,High
33397,0.9293,High
35347,0.9293,High
20845,0.9293,High
10918,0.9291,High
18504,0.9291,High
37965,0.9291,High
44139,0.929,High
38809,0.929,High
103,0.929,High
49536,0.929,High
5939,0.9289,High
51824,0.9289,High
14797,0.9289,High
13244,0.9289,High
3238,0.9289,High
49086,0.9289,High
28689,0.9288,High
334,0.9288,High
34652,0.9288,High
5419,0.9287,High
7247,0.9287,High
15292,0.9286,High
32129,0.9285,High
19441,0.9285,High
24470,0.9284,High
31992,0.9284,High
307,0.9284,High
9517,0.9283,High
20491,0.9283,High
30740,0.9283,High
31480,0.9283,High
18775,0.9282,High
11010,0.9282,High
38767,0.9281,High
14270,0.9281,High
29320,0.9281,High
36540,0.9281,High
38505,0.9281,High
9013,0.928,High
11474,0.928,High
984,0.928,High
49644,0.928,High
41665,0.928,High
24314,0.9279,High
3461,0.9279,High
12714,0.9278,High
48623,0.9278,High
5788,0.9278,High
1934,0.9278,High
36531,0.9278,High
1392,0.9277,High
29524,0.9277,High
28583,0.9277,High
41769,0.9277,High
41517,0.9277,High
40422,0.9276,High
19138,0.9276,High
44114,0.9276,High
1559,0.9275,High
46246,0.9275,High
3822,0.9275,High
17727,0.9274,High
26405,0.9274,High
47649,0.9274,High
16522,0.9274,High
3612,0.9273,High
50558,0.9273,High
38313,0.9272,High
45484,0.9272,High
19713,0.9272,High
20288,0.9271,High
23251,0.9271,High
