customer_id,plan_name,annualized_revenue,churn_probability,risk_level,retention_priority
48383,Basic,95.88,0.9176,High,Priority 2 - High Risk / Medium-Low Value
32349,Standard,191.88,0.9173,High,Priority 1 - High Risk / High Value
27598,Standard,134.28,0.9172,High,Priority 1 - High Risk / High Value
18744,Enterprise,479.88,0.9167,High,Priority 1 - High Risk / High Value
51316,Basic,119.88,0.9145,High,Priority 1 - High Risk / High Value
47263,Basic,83.88,0.913,High,Priority 2 - High Risk / Medium-Low Value
44157,Enterprise,419.88,0.9128,High,Priority 1 - High Risk / High Value
42745,Premium,269.88,0.9117,High,Priority 1 - High Risk / High Value
50741,Basic,101.88,0.9115,High,Priority 2 - High Risk / Medium-Low Value
51550,Basic,83.88,0.9111,High,Priority 2 - High Risk / Medium-Low Value
8905,Basic,95.88,0.9107,High,Priority 2 - High Risk / Medium-Low Value
8652,Basic,107.88,0.9094,High,Priority 2 - High Risk / Medium-Low Value
16544,Standard,191.88,0.9087,High,Priority 1 - High Risk / High Value
40797,Basic,107.88,0.9074,High,Priority 2 - High Risk / Medium-Low Value
34642,Standard,172.68,0.9062,High,Priority 1 - High Risk / High Value
38522,Enterprise,509.88,0.9049,High,Priority 1 - High Risk / High Value
40369,Standard,163.07999999999998,0.9046,High,Priority 1 - High Risk / High Value
15155,Basic,119.88,0.9038,High,Priority 1 - High Risk / High Value
43341,Standard,172.68,0.9034,High,Priority 1 - High Risk / High Value
3616,Standard,191.88,0.9015,High,Priority 1 - High Risk / High Value
11911,Premium,299.88,0.9002,High,Priority 1 - High Risk / High Value
12646,Standard,134.28,0.8978,High,Priority 1 - High Risk / High Value
5149,Premium,239.88,0.8974,High,Priority 1 - High Risk / High Value
21099,Basic,119.88,0.8968,High,Priority 1 - High Risk / High Value
5458,Standard,191.88,0.896,High,Priority 1 - High Risk / High Value
13118,Standard,134.28,0.8958,High,Priority 1 - High Risk / High Value
16176,Premium,254.88,0.8952,High,Priority 1 - High Risk / High Value
13302,Premium,269.88,0.8949,High,Priority 1 - High Risk / High Value
27782,Standard,191.88,0.8947,High,Priority 1 - High Risk / High Value
21255,Basic,107.88,0.8946,High,Priority 2 - High Risk / Medium-Low Value
11780,Standard,153.48,0.8933,High,Priority 1 - High Risk / High Value
12659,Premium,209.88,0.8932,High,Priority 1 - High Risk / High Value
44904,Basic,101.88,0.8922,High,Priority 2 - High Risk / Medium-Low Value
27256,Basic,119.88,0.8916,High,Priority 1 - High Risk / High Value
10675,Premium,299.88,0.8915,High,Priority 1 - High Risk / High Value
36967,Basic,95.88,0.8902,High,Priority 2 - High Risk / Medium-Low Value
40375,Basic,119.88,0.8902,High,Priority 1 - High Risk / High Value
30319,Premium,254.88,0.89,High,Priority 1 - High Risk / High Value
6899,Basic,119.88,0.8897,High,Priority 1 - High Risk / High Value
15016,Basic,107.88,0.8894,High,Priority 2 - High Risk / Medium-Low Value
8311,Standard,163.07999999999998,0.8893,High,Priority 1 - High Risk / High Value
33086,Standard,153.48,0.8879,High,Priority 1 - High Risk / High Value
44845,Standard,163.07999999999998,0.8877,High,Priority 1 - High Risk / High Value
17327,Basic,119.88,0.8874,High,Priority 1 - High Risk / High Value
48157,Standard,172.68,0.8871,High,Priority 1 - High Risk / High Value
563,Basic,83.88,0.8865,High,Priority 2 - High Risk / Medium-Low Value
51892,Premium,299.88,0.8861,High,Priority 1 - High Risk / High Value
18261,Standard,163.07999999999998,0.886,High,Priority 1 - High Risk / High Value
15353,Premium,269.88,0.8858,High,Priority 1 - High Risk / High Value
35779,Standard,163.07999999999998,0.8849,High,Priority 1 - High Risk / High Value
35930,Premium,299.88,0.8847,High,Priority 1 - High Risk / High Value
17053,Standard,163.07999999999998,0.8844,High,Priority 1 - High Risk / High Value
51172,Basic,119.88,0.8839,High,Priority 1 - High Risk / High Value
21984,Basic,101.88,0.8832,High,Priority 2 - High Risk / Medium-Low Value
37151,Enterprise,479.88,0.8829,High,Priority 1 - High Risk / High Value
4413,Standard,163.07999999999998,0.8829,High,Priority 1 - High Risk / High Value
27015,Basic,83.88,0.8812,High,Priority 2 - High Risk / Medium-Low Value
29548,Standard,191.88,0.881,High,Priority 1 - High Risk / High Value
12963,Basic,101.88,0.8807,High,Priority 2 - High Risk / Medium-Low Value
1747,Basic,83.88,0.8805,High,Priority 2 - High Risk / Medium-Low Value
18701,Standard,191.88,0.8803,High,Priority 1 - High Risk / High Value
28333,Standard,134.28,0.8797,High,Priority 1 - High Risk / High Value
44165,Basic,107.88,0.8797,High,Priority 2 - High Risk / Medium-Low Value
50796,Basic,119.88,0.879,High,Priority 1 - High Risk / High Value
47723,Standard,191.88,0.8787,High,Priority 1 - High Risk / High Value
41896,Premium,299.88,0.8779,High,Priority 1 - High Risk / High Value
38782,Basic,95.88,0.8778,High,Priority 2 - High Risk / Medium-Low Value
12809,Basic,83.88,0.8776,High,Priority 2 - High Risk / Medium-Low Value
33306,Standard,191.88,0.8773,High,Priority 1 - High Risk / High Value
34662,Standard,163.07999999999998,0.8773,High,Priority 1 - High Risk / High Value
44401,Standard,134.28,0.8771,High,Priority 1 - High Risk / High Value
10395,Basic,95.88,0.8762,High,Priority 2 - High Risk / Medium-Low Value
23572,Standard,172.68,0.876,High,Priority 1 - High Risk / High Value
8815,Enterprise,419.88,0.875,High,Priority 1 - High Risk / High Value
11222,Standard,134.28,0.875,High,Priority 1 - High Risk / High Value
47481,Standard,191.88,0.8749,High,Priority 1 - High Risk / High Value
18157,Standard,191.88,0.8747,High,Priority 1 - High Risk / High Value
13391,Basic,119.88,0.8747,High,Priority 1 - High Risk / High Value
2203,Standard,134.28,0.8745,High,Priority 1 - High Risk / High Value
51100,Basic,95.88,0.8745,High,Priority 2 - High Risk / Medium-Low Value
33445,Basic,119.88,0.874,High,Priority 1 - High Risk / High Value
51246,Standard,191.88,0.873,High,Priority 1 - High Risk / High Value
44272,Standard,191.88,0.873,High,Priority 1 - High Risk / High Value
25502,Enterprise,599.88,0.8726,High,Priority 1 - High Risk / High Value
3460,Basic,101.88,0.8726,High,Priority 2 - High Risk / Medium-Low Value
27383,Standard,191.88,0.8723,High,Priority 1 - High Risk / High Value
5140,Standard,172.68,0.8721,High,Priority 1 - High Risk / High Value
49518,Standard,153.48,0.8714,High,Priority 1 - High Risk / High Value
10277,Standard,172.68,0.8712,High,Priority 1 - High Risk / High Value
4895,Basic,119.88,0.8711,High,Priority 1 - High Risk / High Value
14416,Basic,101.88,0.8708,High,Priority 2 - High Risk / Medium-Low Value
20029,Basic,119.88,0.8702,High,Priority 1 - High Risk / High Value
48598,Standard,153.48,0.8698,High,Priority 1 - High Risk / High Value
28764,Basic,95.88,0.8696,High,Priority 2 - High Risk / Medium-Low Value
23546,Premium,239.88,0.8694,High,Priority 1 - High Risk / High Value
29164,Basic,119.88,0.8693,High,Priority 1 - High Risk / High Value
36741,Standard,191.88,0.8691,High,Priority 1 - High Risk / High Value
34983,Premium,254.88,0.8685,High,Priority 1 - High Risk / High Value
37670,Basic,119.88,0.8684,High,Priority 1 - High Risk / High Value
79,Basic,119.88,0.8679,High,Priority 1 - High Risk / High Value
11656,Standard,172.68,0.8679,High,Priority 1 - High Risk / High Value
12829,Basic,119.88,0.867,High,Priority 1 - High Risk / High Value
24705,Premium,299.88,0.8667,High,Priority 1 - High Risk / High Value
1319,Standard,191.88,0.8667,High,Priority 1 - High Risk / High Value
33668,Basic,119.88,0.8666,High,Priority 1 - High Risk / High Value
24475,Premium,239.88,0.8664,High,Priority 1 - High Risk / High Value
27384,Basic,119.88,0.8661,High,Priority 1 - High Risk / High Value
47266,Basic,119.88,0.866,High,Priority 1 - High Risk / High Value
41565,Basic,83.88,0.8659,High,Priority 2 - High Risk / Medium-Low Value
46493,Standard,191.88,0.8658,High,Priority 1 - High Risk / High Value
45568,Basic,83.88,0.8657,High,Priority 2 - High Risk / Medium-Low Value
12899,Basic,107.88,0.8654,High,Priority 2 - High Risk / Medium-Low Value
5189,Premium,209.88,0.8654,High,Priority 1 - High Risk / High Value
15331,Standard,191.88,0.8648,High,Priority 1 - High Risk / High Value
15725,Basic,119.88,0.8648,High,Priority 1 - High Risk / High Value
48807,Premium,299.88,0.8632,High,Priority 1 - High Risk / High Value
11580,Basic,107.88,0.8631,High,Priority 2 - High Risk / Medium-Low Value
38202,Standard,191.88,0.8628,High,Priority 1 - High Risk / High Value
46719,Enterprise,479.88,0.8626,High,Priority 1 - High Risk / High Value
25550,Basic,95.88,0.8625,High,Priority 2 - High Risk / Medium-Low Value
2793,Basic,119.88,0.8623,High,Priority 1 - High Risk / High Value
46864,Basic,83.88,0.862,High,Priority 2 - High Risk / Medium-Low Value
51240,Basic,101.88,0.8615,High,Priority 2 - High Risk / Medium-Low Value
8235,Premium,299.88,0.8605,High,Priority 1 - High Risk / High Value
44867,Standard,191.88,0.8602,High,Priority 1 - High Risk / High Value
12974,Basic,83.88,0.8591,High,Priority 2 - High Risk / Medium-Low Value
50543,Basic,119.88,0.859,High,Priority 1 - High Risk / High Value
30515,Premium,299.88,0.8589,High,Priority 1 - High Risk / High Value
38236,Basic,119.88,0.8584,High,Priority 1 - High Risk / High Value
42195,Standard,191.88,0.8584,High,Priority 1 - High Risk / High Value
40246,Standard,134.28,0.8582,High,Priority 1 - High Risk / High Value
24421,Basic,83.88,0.8582,High,Priority 2 - High Risk / Medium-Low Value
14069,Standard,163.07999999999998,0.8575,High,Priority 1 - High Risk / High Value
11921,Standard,163.07999999999998,0.8573,High,Priority 1 - High Risk / High Value
14664,Basic,101.88,0.8564,High,Priority 2 - High Risk / Medium-Low Value
40294,Premium,269.88,0.8563,High,Priority 1 - High Risk / High Value
42173,Basic,119.88,0.855,High,Priority 1 - High Risk / High Value
11435,Basic,119.88,0.855,High,Priority 1 - High Risk / High Value
25542,Standard,191.88,0.855,High,Priority 1 - High Risk / High Value
14726,Basic,95.88,0.8543,High,Priority 2 - High Risk / Medium-Low Value
11180,Basic,83.88,0.8541,High,Priority 2 - High Risk / Medium-Low Value
25020,Premium,299.88,0.854,High,Priority 1 - High Risk / High Value
44128,Standard,172.68,0.8535,High,Priority 1 - High Risk / High Value
7670,Standard,163.07999999999998,0.8535,High,Priority 1 - High Risk / High Value
21962,Enterprise,599.88,0.8534,High,Priority 1 - High Risk / High Value
36958,Standard,172.68,0.8533,High,Priority 1 - High Risk / High Value
2720,Basic,119.88,0.8528,High,Priority 1 - High Risk / High Value
3400,Standard,172.68,0.8527,High,Priority 1 - High Risk / High Value
51629,Basic,119.88,0.8523,High,Priority 1 - High Risk / High Value
27978,Premium,269.88,0.8521,High,Priority 1 - High Risk / High Value
23736,Basic,119.88,0.852,High,Priority 1 - High Risk / High Value
36622,Standard,163.07999999999998,0.8518,High,Priority 1 - High Risk / High Value
36736,Standard,191.88,0.8518,High,Priority 1 - High Risk / High Value
19456,Standard,153.48,0.8515,High,Priority 1 - High Risk / High Value
33738,Basic,119.88,0.8512,High,Priority 1 - High Risk / High Value
31524,Standard,134.28,0.8512,High,Priority 1 - High Risk / High Value
42158,Basic,119.88,0.8511,High,Priority 1 - High Risk / High Value
9066,Standard,153.48,0.8507,High,Priority 1 - High Risk / High Value
13778,Premium,209.88,0.8506,High,Priority 1 - High Risk / High Value
26553,Enterprise,599.88,0.8505,High,Priority 1 - High Risk / High Value
3367,Basic,119.88,0.8505,High,Priority 1 - High Risk / High Value
35134,Basic,107.88,0.8503,High,Priority 2 - High Risk / Medium-Low Value
8798,Premium,254.88,0.8502,High,Priority 1 - High Risk / High Value
30904,Premium,209.88,0.8496,High,Priority 1 - High Risk / High Value
34287,Basic,119.88,0.8495,High,Priority 1 - High Risk / High Value
28077,Basic,119.88,0.8494,High,Priority 1 - High Risk / High Value
14194,Enterprise,419.88,0.8493,High,Priority 1 - High Risk / High Value
21459,Basic,119.88,0.8484,High,Priority 1 - High Risk / High Value
36186,Enterprise,599.88,0.8484,High,Priority 1 - High Risk / High Value
11327,Premium,239.88,0.8483,High,Priority 1 - High Risk / High Value
9410,Basic,119.88,0.8481,High,Priority 1 - High Risk / High Value
5821,Basic,119.88,0.8481,High,Priority 1 - High Risk / High Value
40836,Basic,119.88,0.848,High,Priority 1 - High Risk / High Value
28450,Basic,101.88,0.8475,High,Priority 2 - High Risk / Medium-Low Value
38396,Standard,172.68,0.8475,High,Priority 1 - High Risk / High Value
2742,Standard,191.88,0.8475,High,Priority 1 - High Risk / High Value
26507,Standard,191.88,0.8472,High,Priority 1 - High Risk / High Value
42103,Basic,119.88,0.8465,High,Priority 1 - High Risk / High Value
14663,Standard,191.88,0.8462,High,Priority 1 - High Risk / High Value
11541,Standard,191.88,0.8462,High,Priority 1 - High Risk / High Value
565,Premium,299.88,0.8461,High,Priority 1 - High Risk / High Value
14140,Standard,163.07999999999998,0.846,High,Priority 1 - High Risk / High Value
33947,Basic,95.88,0.8457,High,Priority 2 - High Risk / Medium-Low Value
17389,Enterprise,599.88,0.8456,High,Priority 1 - High Risk / High Value
3229,Premium,299.88,0.8452,High,Priority 1 - High Risk / High Value
42739,Basic,101.88,0.8452,High,Priority 2 - High Risk / Medium-Low Value
34322,Premium,239.88,0.8449,High,Priority 1 - High Risk / High Value
35932,Basic,83.88,0.8445,High,Priority 2 - High Risk / Medium-Low Value
8555,Standard,191.88,0.8443,High,Priority 1 - High Risk / High Value
17477,Standard,191.88,0.8442,High,Priority 1 - High Risk / High Value
40110,Standard,172.68,0.8442,High,Priority 1 - High Risk / High Value
43469,Basic,107.88,0.8441,High,Priority 2 - High Risk / Medium-Low Value
38937,Basic,107.88,0.8439,High,Priority 2 - High Risk / Medium-Low Value
31779,Standard,191.88,0.8435,High,Priority 1 - High Risk / High Value
46086,Standard,134.28,0.8435,High,Priority 1 - High Risk / High Value
17631,Standard,172.68,0.8431,High,Priority 1 - High Risk / High Value
37145,Basic,95.88,0.8426,High,Priority 2 - High Risk / Medium-Low Value
32070,Basic,101.88,0.8424,High,Priority 2 - High Risk / Medium-Low Value
46325,Basic,119.88,0.8421,High,Priority 1 - High Risk / High Value
11810,Premium,254.88,0.8419,High,Priority 1 - High Risk / High Value
27972,Enterprise,479.88,0.8419,High,Priority 1 - High Risk / High Value
12785,Standard,153.48,0.8416,High,Priority 1 - High Risk / High Value
35140,Basic,107.88,0.8415,High,Priority 2 - High Risk / Medium-Low Value
5430,Standard,163.07999999999998,0.8412,High,Priority 1 - High Risk / High Value
26538,Premium,299.88,0.8412,High,Priority 1 - High Risk / High Value
9899,Premium,239.88,0.8409,High,Priority 1 - High Risk / High Value
25739,Premium,209.88,0.8409,High,Priority 1 - High Risk / High Value
18145,Basic,107.88,0.8409,High,Priority 2 - High Risk / Medium-Low Value
43252,Premium,299.88,0.8407,High,Priority 1 - High Risk / High Value
211,Standard,163.07999999999998,0.8406,High,Priority 1 - High Risk / High Value
707,Standard,191.88,0.8406,High,Priority 1 - High Risk / High Value
45316,Basic,83.88,0.8404,High,Priority 2 - High Risk / Medium-Low Value
15583,Basic,83.88,0.8401,High,Priority 2 - High Risk / Medium-Low Value
42349,Basic,101.88,0.8399,High,Priority 2 - High Risk / Medium-Low Value
40404,Enterprise,509.88,0.8398,High,Priority 1 - High Risk / High Value
16270,Basic,101.88,0.8398,High,Priority 2 - High Risk / Medium-Low Value
23359,Basic,119.88,0.8398,High,Priority 1 - High Risk / High Value
790,Basic,119.88,0.8387,High,Priority 1 - High Risk / High Value
49612,Premium,299.88,0.8384,High,Priority 1 - High Risk / High Value
14543,Basic,83.88,0.8382,High,Priority 2 - High Risk / Medium-Low Value
20544,Premium,209.88,0.8376,High,Priority 1 - High Risk / High Value
23018,Basic,119.88,0.8376,High,Priority 1 - High Risk / High Value
40097,Basic,95.88,0.8374,High,Priority 2 - High Risk / Medium-Low Value
10077,Basic,119.88,0.8374,High,Priority 1 - High Risk / High Value
36072,Basic,119.88,0.8371,High,Priority 1 - High Risk / High Value
7280,Standard,134.28,0.837,High,Priority 1 - High Risk / High Value
10282,Standard,153.48,0.8369,High,Priority 1 - High Risk / High Value
24015,Basic,119.88,0.8368,High,Priority 1 - High Risk / High Value
40740,Basic,101.88,0.8366,High,Priority 2 - High Risk / Medium-Low Value
8549,Standard,191.88,0.8364,High,Priority 1 - High Risk / High Value
1084,Basic,83.88,0.8364,High,Priority 2 - High Risk / Medium-Low Value
4651,Basic,119.88,0.8356,High,Priority 1 - High Risk / High Value
10572,Basic,83.88,0.8356,High,Priority 2 - High Risk / Medium-Low Value
44881,Standard,163.07999999999998,0.8354,High,Priority 1 - High Risk / High Value
37071,Basic,119.88,0.8353,High,Priority 1 - High Risk / High Value
14971,Standard,191.88,0.8352,High,Priority 1 - High Risk / High Value
40955,Basic,119.88,0.8352,High,Priority 1 - High Risk / High Value
30930,Standard,191.88,0.8352,High,Priority 1 - High Risk / High Value
36152,Standard,191.88,0.8351,High,Priority 1 - High Risk / High Value
38126,Premium,209.88,0.8351,High,Priority 1 - High Risk / High Value
24218,Standard,153.48,0.835,High,Priority 1 - High Risk / High Value
35854,Enterprise,419.88,0.835,High,Priority 1 - High Risk / High Value
42646,Standard,191.88,0.8345,High,Priority 1 - High Risk / High Value
42549,Basic,107.88,0.8342,High,Priority 2 - High Risk / Medium-Low Value
30338,Standard,172.68,0.8342,High,Priority 1 - High Risk / High Value
31830,Standard,191.88,0.8338,High,Priority 1 - High Risk / High Value
31474,Premium,299.88,0.8337,High,Priority 1 - High Risk / High Value
20914,Premium,239.88,0.8336,High,Priority 1 - High Risk / High Value
44981,Basic,83.88,0.8334,High,Priority 2 - High Risk / Medium-Low Value
22995,Premium,209.88,0.8333,High,Priority 1 - High Risk / High Value
22674,Standard,172.68,0.8333,High,Priority 1 - High Risk / High Value
21276,Basic,119.88,0.8332,High,Priority 1 - High Risk / High Value
47349,Standard,191.88,0.8329,High,Priority 1 - High Risk / High Value
27931,Standard,191.88,0.8328,High,Priority 1 - High Risk / High Value
45840,Standard,172.68,0.8328,High,Priority 1 - High Risk / High Value
25823,Basic,119.88,0.8325,High,Priority 1 - High Risk / High Value
6395,Basic,101.88,0.8325,High,Priority 2 - High Risk / Medium-Low Value
37739,Basic,95.88,0.8325,High,Priority 2 - High Risk / Medium-Low Value
40801,Basic,95.88,0.832,High,Priority 2 - High Risk / Medium-Low Value
23450,Basic,95.88,0.8318,High,Priority 2 - High Risk / Medium-Low Value
35535,Basic,95.88,0.8317,High,Priority 2 - High Risk / Medium-Low Value
6244,Basic,83.88,0.8316,High,Priority 2 - High Risk / Medium-Low Value
32393,Basic,107.88,0.8315,High,Priority 2 - High Risk / Medium-Low Value
47289,Basic,107.88,0.8315,High,Priority 2 - High Risk / Medium-Low Value
48917,Basic,119.88,0.8312,High,Priority 1 - High Risk / High Value
15624,Basic,119.88,0.8312,High,Priority 1 - High Risk / High Value
24487,Standard,153.48,0.831,High,Priority 1 - High Risk / High Value
51382,Standard,153.48,0.8309,High,Priority 1 - High Risk / High Value
29247,Basic,119.88,0.8309,High,Priority 1 - High Risk / High Value
3309,Standard,153.48,0.8308,High,Priority 1 - High Risk / High Value
33321,Basic,101.88,0.8305,High,Priority 2 - High Risk / Medium-Low Value
15748,Standard,163.07999999999998,0.8305,High,Priority 1 - High Risk / High Value
45940,Standard,153.48,0.8303,High,Priority 1 - High Risk / High Value
17078,Basic,107.88,0.8303,High,Priority 2 - High Risk / Medium-Low Value
41966,Standard,172.68,0.8302,High,Priority 1 - High Risk / High Value
45198,Standard,191.88,0.83,High,Priority 1 - High Risk / High Value
28837,Standard,134.28,0.8299,High,Priority 1 - High Risk / High Value
4620,Basic,119.88,0.8296,High,Priority 1 - High Risk / High Value
17453,Basic,83.88,0.8295,High,Priority 2 - High Risk / Medium-Low Value
7877,Basic,101.88,0.8295,High,Priority 2 - High Risk / Medium-Low Value
5019,Basic,83.88,0.8293,High,Priority 2 - High Risk / Medium-Low Value
15667,Premium,299.88,0.8292,High,Priority 1 - High Risk / High Value
50132,Standard,163.07999999999998,0.8291,High,Priority 1 - High Risk / High Value
24323,Basic,119.88,0.8289,High,Priority 1 - High Risk / High Value
1493,Basic,83.88,0.8288,High,Priority 2 - High Risk / Medium-Low Value
861,Standard,163.07999999999998,0.8285,High,Priority 1 - High Risk / High Value
5863,Standard,134.28,0.8282,High,Priority 1 - High Risk / High Value
50883,Premium,239.88,0.8282,High,Priority 1 - High Risk / High Value
39785,Basic,9.99,0.8281,High,Priority 2 - High Risk / Medium-Low Value
19263,Basic,119.88,0.828,High,Priority 1 - High Risk / High Value
37890,Standard,153.48,0.8278,High,Priority 1 - High Risk / High Value
47105,Basic,119.88,0.8277,High,Priority 1 - High Risk / High Value
45114,Premium,254.88,0.8277,High,Priority 1 - High Risk / High Value
13563,Basic,119.88,0.8275,High,Priority 1 - High Risk / High Value
34230,Standard,191.88,0.8272,High,Priority 1 - High Risk / High Value
51749,Basic,83.88,0.8272,High,Priority 2 - High Risk / Medium-Low Value
47793,Basic,119.88,0.8271,High,Priority 1 - High Risk / High Value
44106,Standard,134.28,0.8271,High,Priority 1 - High Risk / High Value
28135,Premium,299.88,0.8271,High,Priority 1 - High Risk / High Value
36772,Basic,119.88,0.827,High,Priority 1 - High Risk / High Value
44478,Basic,95.88,0.8264,High,Priority 2 - High Risk / Medium-Low Value
12517,Basic,83.88,0.8264,High,Priority 2 - High Risk / Medium-Low Value
12070,Standard,191.88,0.8263,High,Priority 1 - High Risk / High Value
23019,Standard,172.68,0.8263,High,Priority 1 - High Risk / High Value
37292,Premium,299.88,0.8263,High,Priority 1 - High Risk / High Value
40598,Standard,153.48,0.8262,High,Priority 1 - High Risk / High Value
18236,Standard,153.48,0.8262,High,Priority 1 - High Risk / High Value
43666,Basic,119.88,0.8262,High,Priority 1 - High Risk / High Value
30811,Standard,191.88,0.8259,High,Priority 1 - High Risk / High Value
15133,Basic,119.88,0.8259,High,Priority 1 - High Risk / High Value
1565,Basic,119.88,0.8258,High,Priority 1 - High Risk / High Value
1804,Basic,95.88,0.8257,High,Priority 2 - High Risk / Medium-Low Value
39687,Standard,191.88,0.8256,High,Priority 1 - High Risk / High Value
48207,Standard,191.88,0.8255,High,Priority 1 - High Risk / High Value
47097,Basic,101.88,0.8254,High,Priority 2 - High Risk / Medium-Low Value
33099,Basic,119.88,0.8253,High,Priority 1 - High Risk / High Value
3452,Standard,191.88,0.8252,High,Priority 1 - High Risk / High Value
13926,Basic,83.88,0.8248,High,Priority 2 - High Risk / Medium-Low Value
49543,Basic,119.88,0.8247,High,Priority 1 - High Risk / High Value
5165,Premium,209.88,0.8246,High,Priority 1 - High Risk / High Value
51295,Basic,101.88,0.8246,High,Priority 2 - High Risk / Medium-Low Value
8477,Standard,191.88,0.8239,High,Priority 1 - High Risk / High Value
45041,Standard,163.07999999999998,0.8238,High,Priority 1 - High Risk / High Value
16467,Enterprise,539.88,0.8233,High,Priority 1 - High Risk / High Value
37473,Standard,191.88,0.8232,High,Priority 1 - High Risk / High Value
641,Standard,172.68,0.8232,High,Priority 1 - High Risk / High Value
10271,Basic,101.88,0.8228,High,Priority 2 - High Risk / Medium-Low Value
31218,Basic,95.88,0.8226,High,Priority 2 - High Risk / Medium-Low Value
24695,Basic,107.88,0.8224,High,Priority 2 - High Risk / Medium-Low Value
49780,Standard,191.88,0.8223,High,Priority 1 - High Risk / High Value
18029,Basic,119.88,0.822,High,Priority 1 - High Risk / High Value
41492,Basic,119.88,0.8218,High,Priority 1 - High Risk / High Value
11005,Basic,119.88,0.8217,High,Priority 1 - High Risk / High Value
14110,Basic,119.88,0.8214,High,Priority 1 - High Risk / High Value
50720,Basic,101.88,0.8212,High,Priority 2 - High Risk / Medium-Low Value
247,Basic,95.88,0.8212,High,Priority 2 - High Risk / Medium-Low Value
1012,Standard,163.07999999999998,0.821,High,Priority 1 - High Risk / High Value
44219,Standard,163.07999999999998,0.8208,High,Priority 1 - High Risk / High Value
19378,Basic,119.88,0.8207,High,Priority 1 - High Risk / High Value
7603,Basic,119.88,0.8207,High,Priority 1 - High Risk / High Value
33924,Premium,239.88,0.8206,High,Priority 1 - High Risk / High Value
16742,Basic,119.88,0.8203,High,Priority 1 - High Risk / High Value
50038,Standard,153.48,0.8203,High,Priority 1 - High Risk / High Value
31625,Basic,119.88,0.8203,High,Priority 1 - High Risk / High Value
28544,Basic,119.88,0.8201,High,Priority 1 - High Risk / High Value
40718,Standard,191.88,0.8199,High,Priority 1 - High Risk / High Value
44828,Basic,95.88,0.8199,High,Priority 2 - High Risk / Medium-Low Value
21227,Basic,107.88,0.8197,High,Priority 2 - High Risk / Medium-Low Value
43529,Premium,299.88,0.8193,High,Priority 1 - High Risk / High Value
15922,Standard,172.68,0.8193,High,Priority 1 - High Risk / High Value
40541,Standard,153.48,0.8192,High,Priority 1 - High Risk / High Value
40088,Standard,163.07999999999998,0.8188,High,Priority 1 - High Risk / High Value
45857,Basic,107.88,0.8186,High,Priority 2 - High Risk / Medium-Low Value
